pessoa;x;y;z;tempo;hora;som,
124;262.249;-170.307;-0.67;00:00;20:21:16;3,
18;262.249;-170.307;-0.67;00:00;20:21:16;3,
18;262.249;-170.307;-0.67;00:00;20:21:16;20,
18;0;0;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;259.237;-174.858;-0.67;00:00;20:21:16;20,
18;259.237;-174.858;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;256.146;-179.355;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;256.146;-179.355;-0.67;00:00;20:21:16;20,
18;256.146;-179.355;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;252.977;-183.798;-0.67;00:00;20:21:16;20,
124;252.977;-183.798;-0.67;00:00;20:21:16;20,
18;252.977;-183.798;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;252.977;-183.798;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;24.973;-188.185;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;24.973;-188.185;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;24.973;-188.185;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;24.973;-188.185;-0.67;00:00;20:21:16;20,
18;24.973;-188.185;-0.67;00:00;20:21:16;20,
18;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;24.973;-188.185;-0.67;00:00;20:21:16;20,
124;24.973;-188.185;-0.67;00:00;20:21:16;20,
18;252.977;-183.798;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
18;252.977;-183.798;-0.67;00:00;20:21:16;20,
124;255.248;-424.804;-0.67;00:00;20:21:16;20,
124;252.977;-183.798;-0.67;00:00;20:21:17;20,
18;252.977;-183.798;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;252.977;-183.798;-0.67;00:00;20:21:17;20,
18;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;256.146;-179.355;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;256.146;-179.355;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;259.237;-174.858;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;259.237;-174.858;-0.67;00:00;20:21:17;20,
18;259.237;-174.858;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;259.237;-174.858;-0.67;00:00;20:21:17;20,
18;259.237;-174.858;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;259.237;-174.858;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;259.237;-174.858;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;256.146;-179.355;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;256.146;-179.355;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
124;256.146;-179.355;-0.67;00:00;20:21:17;20,
124;252.977;-183.798;-0.67;00:00;20:21:17;20,
124;252.977;-183.798;-0.67;00:00;20:21:17;20,
18;24.973;-188.185;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;24.973;-188.185;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;246.408;-192.515;-0.67;00:00;20:21:17;20,
18;246.408;-192.515;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;243.011;-196.786;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;243.011;-196.786;-0.67;00:00;20:21:17;20,
18;239.539;-200.997;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
18;235.995;-205.147;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;235.995;-205.147;-0.67;00:00;20:21:17;20,
18;232.379;-209.235;-0.67;00:00;20:21:17;20,
18;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;255.248;-424.804;-0.67;00:00;20:21:17;20,
124;232.379;-209.235;-0.67;00:00;20:21:17;20,
